cell_idx,row,col,is_riau,peat_frac,peat_depth_m
0,0,0,False,0.0,0.0
1,0,1,False,0.0,0.0
2,0,2,False,0.0,0.0
3,0,3,False,0.0,0.0
4,0,4,False,0.0,0.0
5,0,5,False,0.0,0.0
6,0,6,False,0.0,0.0
7,0,7,False,0.0,0.0
8,0,8,False,0.0,0.0
9,0,9,False,0.0,0.0
10,0,10,False,0.0,0.0
11,0,11,False,0.0,0.0
12,0,12,False,0.0,0.0
13,0,13,False,0.0,0.0
14,0,14,False,0.0,0.0
15,0,15,False,0.0,0.0
16,0,16,False,0.0,0.0
17,0,17,False,0.0,0.0
18,0,18,False,0.0,0.0
19,0,19,False,0.0,0.0
20,0,20,False,0.0,0.0
21,0,21,False,0.0,0.0
22,0,22,False,0.0,0.0
23,0,23,False,0.0,0.0
24,0,24,False,0.0,0.0
25,0,25,False,0.0,0.0
26,0,26,False,0.0,0.0
27,0,27,False,0.0,0.0
28,0,28,False,0.0,0.0
29,0,29,False,0.0,0.0
30,0,30,False,0.0,0.0
31,0,31,False,0.0,0.0
32,0,32,False,0.0,0.0
33,0,33,False,0.0,0.0
34,0,34,False,0.0,0.0
35,0,35,False,0.0,0.0
36,0,36,False,0.0,0.0
37,0,37,False,0.0,0.0
38,0,38,False,0.0,0.0
39,0,39,False,0.0,0.0
40,0,40,False,0.0,0.0
41,0,41,False,0.0,0.0
42,0,42,False,0.0,0.0
43,0,43,False,0.0,0.0
44,0,44,False,0.0,0.0
45,0,45,False,0.0,0.0
46,0,46,False,0.0,0.0
47,0,47,False,0.0,0.0
48,0,48,False,0.0,0.0
49,0,49,False,0.0,0.0
50,0,50,False,0.0,0.0
51,0,51,False,0.0,0.0
52,0,52,False,0.0,0.0
53,0,53,False,0.0,0.0
54,0,54,False,0.0,0.0
55,0,55,False,0.0,0.0
56,0,56,False,0.0,0.0
57,0,57,False,0.0,0.0
58,0,58,False,0.0,0.0
59,0,59,False,0.0,0.0
60,0,60,False,0.0,0.0
61,0,61,False,0.0,0.0
62,0,62,False,0.0,0.0
63,0,63,False,0.0,0.0
64,0,64,False,0.0,0.0
65,0,65,False,0.0,0.0
66,0,66,False,0.0,0.0
67,0,67,False,0.0,0.0
68,0,68,False,0.0,0.0
69,0,69,False,0.0,0.0
70,0,70,False,0.0,0.0
71,0,71,False,0.0,0.0
72,0,72,False,0.0,0.0
73,0,73,False,0.0,0.0
74,0,74,False,0.0,0.0
75,0,75,False,0.0,0.0
76,0,76,False,0.0,0.0
77,0,77,False,0.0,0.0
78,0,78,False,0.0,0.0
79,0,79,False,0.0,0.0
80,0,80,False,0.0,0.0
81,0,81,False,0.0,0.0
82,0,82,False,0.0,0.0
83,0,83,False,0.0,0.0
84,0,84,False,0.0,0.0
85,1,0,False,0.0,0.0
86,1,1,False,0.0,0.0
87,1,2,False,0.0,0.0
88,1,3,False,0.0,0.0
89,1,4,False,0.0,0.0
90,1,5,False,0.0,0.0
91,1,6,False,0.0,0.0
92,1,7,False,0.0,0.0
93,1,8,False,0.0,0.0
94,1,9,False,0.0,0.0
95,1,10,False,0.0,0.0
96,1,11,False,0.0,0.0
97,1,12,False,0.0,0.0
98,1,13,False,0.0,0.0
99,1,14,False,0.0,0.0
100,1,15,False,0.0,0.0
101,1,16,False,0.0,0.0
102,1,17,False,0.0,0.0
103,1,18,False,0.0,0.0
104,1,19,False,0.0,0.0
105,1,20,False,0.0,0.0
106,1,21,False,0.0,0.0
107,1,22,False,0.0,0.0
108,1,23,False,0.0,0.0
109,1,24,False,0.0,0.0
110,1,25,False,0.0,0.0
111,1,26,False,0.0,0.0
112,1,27,False,0.0,0.0
113,1,28,False,0.0,0.0
114,1,29,False,0.0,0.0
115,1,30,False,0.0,0.0
116,1,31,False,0.0,0.0
117,1,32,False,0.0,0.0
118,1,33,False,0.0,0.0
119,1,34,False,0.0,0.0
120,1,35,False,0.0,0.0
121,1,36,False,0.0,0.0
122,1,37,False,0.0,0.0
123,1,38,False,0.0,0.0
124,1,39,False,0.0,0.0
125,1,40,False,0.0,0.0
126,1,41,False,0.0,0.0
127,1,42,False,0.0,0.0
128,1,43,False,0.0,0.0
129,1,44,False,0.0,0.0
130,1,45,False,0.0,0.0
131,1,46,False,0.0,0.0
132,1,47,False,0.0,0.0
133,1,48,False,0.0,0.0
134,1,49,False,0.0,0.0
135,1,50,False,0.0,0.0
136,1,51,False,0.0,0.0
137,1,52,False,0.0,0.0
138,1,53,False,0.0,0.0
139,1,54,False,0.0,0.0
140,1,55,False,0.0,0.0
141,1,56,True,0.0,0.0
142,1,57,True,0.0,0.0
143,1,58,True,0.0,0.0
144,1,59,False,0.0,0.0
145,1,60,False,0.0,0.0
146,1,61,False,0.0,0.0
147,1,62,False,0.0,0.0
148,1,63,False,0.0,0.0
149,1,64,False,0.0,0.0
150,1,65,False,0.0,0.0
151,1,66,False,0.0,0.0
152,1,67,False,0.0,0.0
153,1,68,False,0.0,0.0
154,1,69,False,0.0,0.0
155,1,70,False,0.0,0.0
156,1,71,False,0.0,0.0
157,1,72,False,0.0,0.0
158,1,73,False,0.0,0.0
159,1,74,False,0.0,0.0
160,1,75,False,0.0,0.0
161,1,76,False,0.0,0.0
162,1,77,False,0.0,0.0
163,1,78,False,0.0,0.0
164,1,79,False,0.0,0.0
165,1,80,False,0.0,0.0
166,1,81,False,0.0,0.0
167,1,82,False,0.0,0.0
168,1,83,False,0.0,0.0
169,1,84,False,0.0,0.0
170,2,0,False,0.0,0.0
171,2,1,False,0.0,0.0
172,2,2,False,0.0,0.0
173,2,3,False,0.0,0.0
